Rank,std_pts,half_ppr_pts,ppr_pts,Position,,
1,29.54558824,29.55772059,29.56985294,QB,,
2,26.82794118,26.84044118,26.85294118,QB,,
3,25.60955882,25.61580882,25.62205882,QB,,
4,25.01029412,25.01654412,25.02279412,QB,,
5,23.69117647,23.69742647,23.70367647,QB,,
6,22.87279412,22.87904412,22.88529412,QB,,
7,22.52426471,22.53051471,22.53676471,QB,,
8,22.02941176,22.04779412,22.06617647,QB,,
9,21.40220588,21.41397059,21.42573529,QB,,
10,20.80294118,20.80294118,20.80294118,QB,,
11,20.62794118,20.63419118,20.64044118,QB,,
12,19.46102941,19.46727941,19.47352941,QB,,
13,18.82720588,18.82720588,18.82720588,QB,,
14,18.5125,18.5125,18.5125,QB,,
15,17.62279412,17.62279412,17.62279412,QB,,
16,16.94779412,16.95404412,16.96029412,QB,,
17,16.52205882,16.52794118,16.53382353,QB,,
18,16.05,16.05625,16.0625,QB,,
19,15.51176471,15.51176471,15.51176471,QB,,
20,15.25220588,15.26470588,15.27720588,QB,,
21,14.95955882,14.97205882,14.98455882,QB,,
22,14.1375,14.1375,14.1375,QB,,
23,13.63382353,13.63382353,13.63382353,QB,,
24,12.99926471,13.00551471,13.01176471,QB,,
25,12.5375,12.54375,12.55,QB,,
26,12.29191176,12.29816176,12.30441176,QB,,
27,11.79338235,11.79338235,11.79338235,QB,,
28,11.16323529,11.18198529,11.20073529,QB,,
29,10.38602941,10.39852941,10.41102941,QB,,
30,9.188970588,9.238970588,9.288970588,QB,,
31,8.680882353,8.687132353,8.693382353,QB,,
1,23.66176471,26.35367647,29.04558824,RB,,
2,20.74926471,22.93676471,25.12426471,RB,,
3,19.53308824,21.13235294,22.73161765,RB,,
4,17.99705882,19.87242647,21.74779412,RB,,
5,16.87573529,18.32977941,19.78382353,RB,,
6,16.11470588,17.60477941,19.09485294,RB,,
7,15.20073529,16.93529412,18.66985294,RB,,
8,14.66323529,16.16139706,17.65955882,RB,,
9,14.13897059,16.01360294,17.88823529,RB,,
10,13.84411765,15.29080882,16.7375,RB,,
11,13.60808824,14.86875,16.12941176,RB,,
12,13.27794118,14.44852941,15.61911765,RB,,
13,12.81838235,13.84705882,14.87573529,RB,,
14,12.46911765,13.52977941,14.59044118,RB,,
15,12.19632353,13.73897059,15.28161765,RB,,
16,12.03897059,13.38051471,14.72205882,RB,,
17,11.83235294,12.90073529,13.96911765,RB,,
18,11.42205882,12.76213235,14.10220588,RB,,
19,11.325,12.57683824,13.82867647,RB,,
20,11.15,12.26066176,13.37132353,RB,,
21,10.96764706,11.98125,12.99485294,RB,,
22,10.62058824,11.61433824,12.60808824,RB,,
23,10.32647059,11.16397059,12.00147059,RB,,
24,9.953676471,10.98345588,12.01323529,RB,,
25,9.771323529,10.84742647,11.92352941,RB,,
26,9.634558824,10.61801471,11.60147059,RB,,
27,9.323529412,10.7625,12.20147059,RB,,
28,9.175735294,10.30110294,11.42647059,RB,,
29,9.100735294,10.28382353,11.46691176,RB,,
30,8.952205882,10.06286765,11.17352941,RB,,
31,8.669117647,9.440441176,10.21176471,RB,,
32,8.445588235,9.404044118,10.3625,RB,,
33,8.258823529,9.007352941,9.755882353,RB,,
34,8.0875,8.970220588,9.852941176,RB,,
35,7.955147059,8.947426471,9.939705882,RB,,
36,7.843382353,8.7875,9.731617647,RB,,
37,7.633088235,8.365808824,9.098529412,RB,,
38,7.535294118,8.602205882,9.669117647,RB,,
39,7.328676471,8.307352941,9.286029412,RB,,
40,7.005147059,7.829779412,8.654411765,RB,,
41,6.843382353,7.405147059,7.966911765,RB,,
42,6.768382353,7.733823529,8.699264706,RB,,
43,6.522058824,7.28125,8.040441176,RB,,
44,6.205147059,7.016176471,7.827205882,RB,,
45,6.130882353,6.749632353,7.368382353,RB,,
46,5.994117647,6.756617647,7.519117647,RB,,
47,5.827205882,6.483455882,7.139705882,RB,,
48,5.727205882,6.347058824,6.966911765,RB,,
49,5.664705882,6.291911765,6.919117647,RB,,
50,5.453676471,6.050735294,6.647794118,RB,,
51,5.353676471,6.262132353,7.170588235,RB,,
52,5.304411765,5.893382353,6.482352941,RB,,
53,5.230147059,5.989705882,6.749264706,RB,,
54,5.180882353,5.572058824,5.963235294,RB,,
55,5.068382353,5.650367647,6.232352941,RB,,
56,5.007352941,5.755147059,6.502941176,RB,,
57,4.785294118,5.371323529,5.957352941,RB,,
58,4.6375,5.536397059,6.435294118,RB,,
59,4.551470588,5.220220588,5.888970588,RB,,
60,4.327205882,5.040073529,5.752941176,RB,,
61,4.253676471,4.627573529,5.001470588,RB,,
62,4.216176471,4.880147059,5.544117647,RB,,
63,4.095588235,4.535294118,4.975,RB,,
1,22.73676471,26.76470588,30.79264706,WR,,
2,19.63897059,23.13272059,26.62647059,WR,,
3,19.27058824,22.20882353,25.14705882,WR,,
4,18.46029412,21.72683824,24.99338235,WR,,
5,17.84705882,20.62720588,23.40735294,WR,,
6,17.39705882,20.70147059,24.00588235,WR,,
7,16.7,19.81727941,22.93455882,WR,,
8,16.27941176,19.32058824,22.36176471,WR,,
9,15.88014706,18.48272059,21.08529412,WR,,
10,15.21102941,17.90735294,20.60367647,WR,,
11,15.125,17.72426471,20.32352941,WR,,
12,14.80220588,17.69007353,20.57794118,WR,,
13,14.45514706,16.88051471,19.30588235,WR,,
14,14.27426471,16.87242647,19.47058824,WR,,
15,14.13823529,16.66580882,19.19338235,WR,,
16,13.77573529,16.22867647,18.68161765,WR,,
17,13.63823529,16.09117647,18.54411765,WR,,
18,13.51397059,16.18198529,18.85,WR,,
19,13.35514706,15.78419118,18.21323529,WR,,
20,13.15661765,15.74522059,18.33382353,WR,,
21,13.02132353,15.41580882,17.81029412,WR,,
22,12.74264706,15.04301471,17.34338235,WR,,
23,12.51764706,14.67132353,16.825,WR,,
24,12.26838235,14.49191176,16.71544118,WR,,
25,12.07279412,14.54889706,17.025,WR,,
26,11.84852941,14.08161765,16.31470588,WR,,
27,11.64338235,13.74375,15.84411765,WR,,
28,11.44338235,13.52720588,15.61102941,WR,,
29,11.17205882,13.18308824,15.19411765,WR,,
30,11.06102941,13.45441176,15.84779412,WR,,
31,10.93676471,12.70477941,14.47279412,WR,,
32,10.92426471,12.93235294,14.94044118,WR,,
33,10.73970588,12.73014706,14.72058824,WR,,
34,10.52794118,12.39191176,14.25588235,WR,,
35,10.26617647,12.06727941,13.86838235,WR,,
36,10.10661765,11.81764706,13.52867647,WR,,
37,9.994117647,11.91727941,13.84044118,WR,,
38,9.794852941,11.71433824,13.63382353,WR,,
39,9.669852941,11.56102941,13.45220588,WR,,
40,9.558088235,11.22022059,12.88235294,WR,,
41,9.396323529,11.07389706,12.75147059,WR,,
42,9.298529412,11.03970588,12.78088235,WR,,
43,9.211764706,11.01323529,12.81470588,WR,,
44,9.090441176,10.72205882,12.35367647,WR,,
45,8.953676471,10.62389706,12.29411765,WR,,
46,8.766911765,10.26470588,11.7625,WR,,
47,8.643382353,10.22132353,11.79926471,WR,,
48,8.508823529,10.06066176,11.6125,WR,,
49,8.372794118,10.06433824,11.75588235,WR,,
50,8.192647059,9.609191176,11.02573529,WR,,
51,8.144117647,9.50625,10.86838235,WR,,
52,7.997058824,9.467647059,10.93823529,WR,,
53,7.9,9.48125,11.0625,WR,,
54,7.826470588,9.292279412,10.75808824,WR,,
55,7.643382353,8.963235294,10.28308824,WR,,
56,7.506617647,8.947058824,10.3875,WR,,
57,7.469117647,8.814705882,10.16029412,WR,,
58,7.294852941,8.852941176,10.41102941,WR,,
59,7.232352941,8.769485294,10.30661765,WR,,
